cycle,rOM,dOM,sOM
40,2.0,0.00999999999999999,51.56
41,2.0,0.00999999999999999,50.72
42,2.0,0.00999999999999999,49.879999999999995
43,2.0,0.00999999999999999,49.04
44,2.0,0.00999999999999999,48.2
45,2.0,0.00999999999999999,47.36
46,2.0,0.00999999999999999,46.519999999999996
47,2.0,0.00999999999999999,45.68
48,2.0,0.00999999999999999,44.84
49,2.0,0.00999999999999999,44.0
50,2.0,0.00999999999999999,43.16
51,2.0,0.00999999999999999,42.32
52,2.0,0.00999999999999999,41.480000000000004
53,2.0,0.00999999999999999,40.64
54,2.0,0.00999999999999999,39.8
55,2.0,0.00999999999999999,38.96
56,2.0,0.00999999999999999,38.120000000000005
57,2.0,0.00999999999999999,37.28
58,2.0,0.00999999999999999,36.44
59,2.0,0.00999999999999999,35.6
60,2.0,0.00999999999999999,34.76
0,1560.0,0.0,0.0
0,80.0,0.0,0.0
0,480.0,0.0,0.0
1,78.7,0.005,1.0
1,474.79999999999995,0.01999999999999999,4.0
1,1522.3000000000002,0.14500000000000005,29.0
2,76.1,0.955,2.23
2,464.40000000000003,3.82,8.92
2,1446.8999999999999,27.69499999999998,64.66999999999996
3,73.5,1.755,3.61
3,454.0,7.02,14.44
3,1371.5,50.89500000000001,104.69
4,70.9,2.555,4.99
4,443.59999999999997,10.22,19.96
4,1296.1000000000001,74.09500000000003,144.70999999999998
5,68.3,3.355,6.37
5,433.20000000000005,13.42,25.48
5,1228.4999999999995,92.09500000000001,184.73000000000008
6,65.7,4.155,7.75
6,422.79999999999995,16.62,31.0
6,1162.2000000000005,104.54500000000004,226.015
7,63.1,4.955,9.13
7,412.40000000000003,19.82,36.52
7,1093.3000000000002,123.99499999999999,262.67999999999995
8,60.5,5.755,10.51
8,402.0,23.02,42.04
8,1028.3,147.29499999999996,295.26
9,57.9,6.555,11.89
9,391.6,26.22,47.56
9,965.8999999999999,162.76000000000002,327.90499999999975
10,55.3,7.355,13.27
10,381.20000000000005,29.42,53.08
10,913.8999999999999,173.10999999999999,361.355
11,52.7,8.155,14.65
11,370.79999999999995,32.62,58.6
11,846.3,189.40999999999997,398.14999999999986
12,50.1,8.955,16.03
12,360.4,35.82,64.12
12,781.3000000000002,212.01,427.4399999999997
13,47.5,9.755,17.41
13,350.0,39.02,69.64
13,718.9,230.2599999999999,454.9600000000002
14,44.9,10.555,18.79
14,339.6,42.22,75.16
14,643.4999999999999,265.90999999999997,478.21000000000004
15,42.3,11.355,20.17
15,329.2,45.42,80.68
15,591.5,291.80999999999995,499.2100000000002
16,41.0,10.855,21.55
16,324.0,43.42,86.2
16,546.0,302.4099999999999,521.8750000000001
17,39.7,9.06,23.93
17,318.8,36.24,95.72
17,506.99999999999994,311.935,548.7500000000001
18,37.1,8.209999999999999,26.54
18,308.4,32.839999999999996,106.16000000000001
18,479.70000000000005,289.73499999999996,577.7049999999997
19,34.5,7.21,29.3
19,298.0,28.84,117.2
19,448.5,272.3399999999999,605.8749999999997
20,31.9,6.21,32.06
20,287.6,24.84,128.24
20,412.1,261.59,633.745
21,29.3,5.21,34.82
21,277.2,20.84,139.28
21,379.6,250.08999999999992,661.1649999999997
22,26.7,4.21,37.58
22,266.8,16.84,150.32
22,356.2,229.83999999999997,685.5849999999998
23,24.1,4.96,38.69
23,256.4,19.840000000000003,154.76
23,336.69999999999993,214.83999999999995,700.105
24,21.5,5.76,39.65
24,246.0,23.04,158.6
24,314.6,204.44499999999988,713.4249999999998
25,18.9,6.56,40.61
25,239.5,21.045,163.44
25,282.09999999999997,205.14499999999992,724.4100000000001
26,16.3,7.36,41.57
26,229.10000000000002,22.595,168.51
26,256.1,201.1949999999999,734.4600000000003
27,13.7,8.16,42.53
27,218.7,23.994999999999997,173.73
27,233.99999999999997,192.84499999999989,744.785
28,11.1,8.96,43.49
28,208.3,28.295,176.25000000000003
28,219.70000000000002,181.7449999999999,755.6050000000001
29,8.5,9.760000000000002,44.45
29,197.9,33.295,177.86999999999998
